op,size,threads,trial,time
mm,64,4,14,0.001
mm,64,4,15,0.001
mm,64,4,16,0.001
mm,64,4,17,0.002
mm,64,4,18,0.002
mm,64,4,19,0.002
mm,64,4,20,0.002
mm,64,4,21,0.002
mm,64,4,22,0.001
mm,64,4,23,0.002
mm,64,4,24,0.001
mm,64,4,25,0.002
mm,64,4,26,0.001
mm,64,4,27,0.002
mm,64,4,28,0.002
mm,64,4,29,0.002
mm,64,4,30,0.001
mm,64,4,31,0.002
mm,64,4,32,0.001
mm,64,4,33,0.001
mm,64,4,34,0.001
mm,64,4,35,0.001
mm,64,4,36,0.002
mm,64,4,37,0.002
mm,64,4,38,0.001
mm,64,4,39,0.001
mm,64,4,40,0.001
mm,64,4,41,0.001
mm,64,4,42,0.002
mm,64,4,43,0.001
mm,64,4,44,0.001
mm,64,4,45,0.001
mm,64,4,46,0.001
mm,64,4,47,0.001
mm,64,4,48,0.001
mm,64,4,49,0.002
mm,64,4,50,0.002
mm,64,4,51,0.001
mm,64,4,52,0.001
mm,64,4,53,0.001
mm,64,4,54,0.002
mm,64,4,55,0.002
mm,64,4,56,0.001
mm,64,4,57,0.001
mm,64,4,58,0.002
mm,64,4,59,0.001
mm,64,4,60,0.001
mm,64,4,61,0.001
mm,64,4,62,0.001
mm,64,4,63,0.001
mm,64,4,64,0.001
mm,64,4,65,0.002
mm,64,4,66,0.001
mm,64,4,67,0.001
mm,64,4,68,0.002
mm,64,4,69,0.002
mm,64,4,70,0.001
mm,64,4,71,0.001
mm,64,4,72,0.001
mm,64,4,73,0.001
mm,64,4,74,0.001
mm,64,4,75,0.001
mm,64,4,76,0.001
mm,64,4,77,0.001
mm,64,4,78,0.002
mm,64,4,79,0.001
mm,64,4,80,0.001
mm,64,4,81,0.001
mm,64,4,82,0.001
mm,64,4,83,0.001
mm,64,4,84,0.001
mm,64,4,85,0.001
mm,64,4,86,0.002
mm,64,4,87,0.001
mm,64,4,88,0.001
mm,64,4,89,0.001
mm,64,4,90,0.001
mm,64,4,91,0.002
mm,64,4,92,0.001
mm,64,4,93,0.001
mm,64,4,94,0.001
mm,64,4,95,0.002
mm,64,4,96,0.002
mm,64,4,97,0.002
mm,64,4,98,0.002
mm,64,4,99,0.002
mm,128,1,0,0.018
mm,128,1,1,0.017
mm,128,1,2,0.019
mm,128,1,3,0.017
mm,128,1,4,0.019
mm,128,1,5,0.018
mm,128,1,6,0.019
mm,128,1,7,0.018
mm,128,1,8,0.018
mm,128,1,9,0.018
mm,128,1,10,0.018
mm,128,1,11,0.019
mm,128,1,12,0.018
mm,128,1,13,0.018
mm,128,1,14,0.018
mm,128,1,15,0.018
mm,128,1,16,0.018
mm,128,1,17,0.018
mm,128,1,18,0.018
mm,128,1,19,0.018
mm,128,1,20,0.018
mm,128,1,21,0.018
mm,128,1,22,0.018
mm,128,1,23,0.018
mm,128,1,24,0.018
mm,128,1,25,0.017
mm,128,1,26,0.018
mm,128,1,27,0.018
mm,128,1,28,0.018
mm,128,1,29,0.019
mm,128,1,30,0.017
mm,128,1,31,0.018
mm,128,1,32,0.018
mm,128,1,33,0.018
mm,128,1,34,0.018
mm,128,1,35,0.018
mm,128,1,36,0.018
mm,128,1,37,0.018
mm,128,1,38,0.017
mm,128,1,39,0.019
mm,128,1,40,0.019
mm,128,1,41,0.019
mm,128,1,42,0.019
mm,128,1,43,0.018
mm,128,1,44,0.019
mm,128,1,45,0.019
mm,128,1,46,0.018
mm,128,1,47,0.018
mm,128,1,48,0.018
mm,128,1,49,0.018
mm,128,1,50,0.018
mm,128,1,51,0.018
mm,128,1,52,0.017
mm,128,1,53,0.018
mm,128,1,54,0.018
mm,128,1,55,0.018
mm,128,1,56,0.018
mm,128,1,57,0.018
mm,128,1,58,0.019
mm,128,1,59,0.018
mm,128,1,60,0.018
mm,128,1,61,0.018
mm,128,1,62,0.018
mm,128,1,63,0.018
mm,128,1,64,0.018
mm,128,1,65,0.019
mm,128,1,66,0.017
mm,128,1,67,0.018
mm,128,1,68,0.018
mm,128,1,69,0.018
mm,128,1,70,0.018
mm,128,1,71,0.018
mm,128,1,72,0.019
mm,128,1,73,0.018
mm,128,1,74,0.018
mm,128,1,75,0.017
mm,128,1,76,0.019
mm,128,1,77,0.018
mm,128,1,78,0.018
mm,128,1,79,0.019
mm,128,1,80,0.019
mm,128,1,81,0.018
mm,128,1,82,0.017
mm,128,1,83,0.018
mm,128,1,84,0.018
mm,128,1,85,0.019
mm,128,1,86,0.018
mm,128,1,87,0.018
mm,128,1,88,0.019
mm,128,1,89,0.018
mm,128,1,90,0.018
mm,128,1,91,0.017
mm,128,1,92,0.019
mm,128,1,93,0.019
mm,128,1,94,0.019
mm,128,1,95,0.018
mm,128,1,96,0.017
mm,128,1,97,0.019
mm,128,1,98,0.018
mm,128,1,99,0.018
mm,128,2,0,0.011
mm,128,2,1,0.012
mm,128,2,2,0.011
mm,128,2,3,0.011
mm,128,2,4,0.012
mm,128,2,5,0.012
mm,128,2,6,0.011
mm,128,2,7,0.011
mm,128,2,8,0.012
mm,128,2,9,0.011
mm,128,2,10,0.011
mm,128,2,11,0.011
mm,128,2,12,0.012
mm,128,2,13,0.011
mm,128,2,14,0.011
mm,128,2,15,0.01
mm,128,2,16,0.011
mm,128,2,17,0.012
mm,128,2,18,0.012
mm,128,2,19,0.011
mm,128,2,20,0.012
mm,128,2,21,0.011
mm,128,2,22,0.012
mm,128,2,23,0.011
mm,128,2,24,0.011
mm,128,2,25,0.011
mm,128,2,26,0.011
mm,128,2,27,0.011
mm,128,2,28,0.012
mm,128,2,29,0.012
mm,128,2,30,0.012
mm,128,2,31,0.012
mm,128,2,32,0.011
mm,128,2,33,0.012
mm,128,2,34,0.011
mm,128,2,35,0.011
mm,128,2,36,0.011
mm,128,2,37,0.011
mm,128,2,38,0.013
mm,128,2,39,0.011
mm,128,2,40,0.011
mm,128,2,41,0.011
mm,128,2,42,0.011
mm,128,2,43,0.012
mm,128,2,44,0.013
mm,128,2,45,0.011
mm,128,2,46,0.012
mm,128,2,47,0.011
mm,128,2,48,0.012
mm,128,2,49,0.011
mm,128,2,50,0.011
mm,128,2,51,0.012
mm,128,2,52,0.011
mm,128,2,53,0.01
mm,128,2,54,0.011
mm,128,2,55,0.011
mm,128,2,56,0.011
mm,128,2,57,0.012
mm,128,2,58,0.012
mm,128,2,59,0.011
mm,128,2,60,0.011
mm,128,2,61,0.011
mm,128,2,62,0.011
mm,128,2,63,0.011
mm,128,2,64,0.011
mm,128,2,65,0.012
mm,128,2,66,0.012
mm,128,2,67,0.011
mm,128,2,68,0.013
mm,128,2,69,0.011
mm,128,2,70,0.011
mm,128,2,71,0.011
mm,128,2,72,0.012
mm,128,2,73,0.012
mm,128,2,74,0.012
mm,128,2,75,0.012
mm,128,2,76,0.012
mm,128,2,77,0.011
mm,128,2,78,0.012
mm,128,2,79,0.011
mm,128,2,80,0.012
mm,128,2,81,0.011
mm,128,2,82,0.012
mm,128,2,83,0.012
mm,128,2,84,0.012
mm,128,2,85,0.011
mm,128,2,86,0.012
mm,128,2,87,0.011
mm,128,2,88,0.01
mm,128,2,89,0.011
mm,128,2,90,0.012
mm,128,2,91,0.011
mm,128,2,92,0.013
mm,128,2,93,0.011
mm,128,2,94,0.011
mm,128,2,95,0.01
mm,128,2,96,0.012
mm,128,2,97,0.012
mm,128,2,98,0.011
mm,128,2,99,0.013
mm,128,4,0,0.008
mm,128,4,1,0.009
mm,128,4,2,0.008
mm,128,4,3,0.008
mm,128,4,4,0.009
mm,128,4,5,0.01
mm,128,4,6,0.009
mm,128,4,7,0.009
mm,128,4,8,0.009
mm,128,4,9,0.009
mm,128,4,10,0.008
mm,128,4,11,0.008
mm,128,4,12,0.008
mm,128,4,13,0.009
mm,128,4,14,0.01
mm,128,4,15,0.009
mm,128,4,16,0.009
mm,128,4,17,0.009
mm,128,4,18,0.009
mm,128,4,19,0.008
mm,128,4,20,0.007
mm,128,4,21,0.008
mm,128,4,22,0.009
mm,128,4,23,0.007
mm,128,4,24,0.009
mm,128,4,25,0.009
mm,128,4,26,0.007
mm,128,4,27,0.008
mm,128,4,28,0.007
mm,128,4,29,0.008
mm,128,4,30,0.008
mm,128,4,31,0.007
mm,128,4,32,0.01
mm,128,4,33,0.008
mm,128,4,34,0.009
mm,128,4,35,0.008
mm,128,4,36,0.009
mm,128,4,37,0.008
mm,128,4,38,0.009
mm,128,4,39,0.008
mm,128,4,40,0.008
mm,128,4,41,0.009
mm,128,4,42,0.007
mm,128,4,43,0.008
mm,128,4,44,0.007
mm,128,4,45,0.007
mm,128,4,46,0.009
mm,128,4,47,0.008
mm,128,4,48,0.009
mm,128,4,49,0.009
mm,128,4,50,0.009
mm,128,4,51,0.009
mm,128,4,52,0.008
mm,128,4,53,0.008
mm,128,4,54,0.007
mm,128,4,55,0.008
mm,128,4,56,0.008
mm,128,4,57,0.007
mm,128,4,58,0.008
mm,128,4,59,0.009
mm,128,4,60,0.01
mm,128,4,61,0.008
mm,128,4,62,0.009
mm,128,4,63,0.008
mm,128,4,64,0.009
mm,128,4,65,0.009
mm,128,4,66,0.008
mm,128,4,67,0.008
mm,128,4,68,0.009
mm,128,4,69,0.009
mm,128,4,70,0.008
mm,128,4,71,0.007
mm,128,4,72,0.008
mm,128,4,73,0.009
mm,128,4,74,0.008
mm,128,4,75,0.008
mm,128,4,76,0.008
mm,128,4,77,0.007
mm,128,4,78,0.008
mm,128,4,79,0.008
mm,128,4,80,0.008
mm,128,4,81,0.008
mm,128,4,82,0.008
mm,128,4,83,0.008
mm,128,4,84,0.009
mm,128,4,85,0.009
mm,128,4,86,0.009
mm,128,4,87,0.008
mm,128,4,88,0.008
mm,128,4,89,0.007
mm,128,4,90,0.008
mm,128,4,91,0.009
mm,128,4,92,0.009
mm,128,4,93,0.008
mm,128,4,94,0.007
mm,128,4,95,0.01
mm,128,4,96,0.008
mm,128,4,97,0.009
mm,128,4,98,0.008
mm,128,4,99,0.007
mm,256,1,0,0.142
mm,256,1,1,0.146
mm,256,1,2,0.144
mm,256,1,3,0.144
mm,256,1,4,0.141
mm,256,1,5,0.142
mm,256,1,6,0.145
mm,256,1,7,0.144
mm,256,1,8,0.142
mm,256,1,9,0.141
mm,256,1,10,0.151
mm,256,1,11,0.153
mm,256,1,12,0.153
mm,256,1,13,0.151
mm,256,1,14,0.146
mm,256,1,15,0.146
mm,256,1,16,0.149
mm,256,1,17,0.146
mm,256,1,18,0.145
mm,256,1,19,0.143
mm,256,1,20,0.142
mm,256,1,21,0.15
mm,256,1,22,0.15
mm,256,1,23,0.144
mm,256,1,24,0.146
mm,256,1,25,0.145
mm,256,1,26,0.153
mm,256,1,27,0.148
mm,256,1,28,0.147
mm,256,1,29,0.144
mm,256,1,30,0.146
mm,256,1,31,0.147
mm,256,1,32,0.156
mm,256,1,33,0.157
mm,256,1,34,0.146
mm,256,1,35,0.172
mm,256,1,36,0.154
mm,256,1,37,0.149
mm,256,1,38,0.149
mm,256,1,39,0.149
mm,256,1,40,0.152
mm,256,1,41,0.149
mm,256,1,42,0.149
mm,256,1,43,0.149
mm,256,1,44,0.15
mm,256,1,45,0.151
mm,256,1,46,0.15
